@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5420000
@ Q2         %le              43.6090000
@ DATETIME   %08s     "11/12/2019 15:19:22"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE661           MULT                          .6600002          .0000000         4.4554185       145.1865183        -6.5984681      -219.9623825          .2260709          .2492767 -3.43356597046E-6 4.817480218791E-4 -1.21194853095E-5 -4.56641116329E-8 5.917063845958E-6 1.422471323173E-5 -4.81720563032E-4 -4.16876514060E-4          .0000000 2.982960427901E-6 1.046477864238E-4          .2260709          .2492767
  QC1LE665            MULT                          .6600002          .0100000         4.4554185       145.1865182        -6.5984494      -219.9629919          .2260709          .2492767 -3.43356596907E-6 4.817480216845E-4 -1.21194708604E-5 -4.36421234289E-8 5.917063845958E-6 1.426272115151E-5 -4.81720563032E-4 -4.16878382657E-4 -8.81296777287E-7 1.08441416735E-10 4.58403061098E-11          .2260709          .2492767
  QC1LPE669           MULT                          .6700002          .0000000         4.5883864       149.6191001        -6.6983934      -223.2952891          .2264229          .2492875 -3.57956439051E-6 4.850116346916E-4 -1.20801873744E-5 -4.41339420777E-8 5.998096109606E-6 1.510187605277E-5 -4.84983700135E-4 -2.35586569563E-4          .0000000 2.982960427901E-6 1.046477864238E-4          .2264229          .2492875
  QC1LPE671           MULT                          .6700002          .0000000         4.5883864       149.6190999        -6.6983742      -223.2959153          .2264229          .2492875 -3.57956421037E-6 4.850116344422E-4 -1.20801722647E-5 -4.21042770466E-8 5.998096020367E-6 1.514014136101E-5 -4.84983700132E-4 -2.35588453815E-4          .0000000 2.478467877449E-6 1.228701161065E-4          .2264229          .2492875
  QC1LE675            MULT                          .6700002          .0100000         4.5883864       149.6190996        -6.6983513      -223.2966555          .2264229          .2492875 -3.57956420725E-6 4.850116340195E-4 -1.20801544745E-5 -3.97046824900E-8 5.998096020367E-6 1.521044420189E-5 -4.84983700132E-4 -2.35590523005E-4 -1.21986763457E-6 1.12100942711E-10 4.44039505941E-11          .2264229          .2492875
  QC1LPE679           MULT                          .6800002          .0000000         4.7233525       154.1183494        -6.7982800      -226.6286406          .2267647          .2492980 -3.73746989958E-6 4.863895438860E-4 -1.20560624711E-5 -4.08728316257E-8 6.058781109430E-6 1.640535431375E-5 -4.86361181665E-4 -3.96639773710E-5          .0000000 2.478467877449E-6 1.228701161065E-4          .2267647          .2492980
  QC1LPE681           MULT                          .6800002          .0000000         4.7233525       154.1183491        -6.7982567      -226.6293985          .2267647          .2492980 -3.73746986447E-6 4.863895433681E-4 -1.20560440007E-5 -3.84810370402E-8 6.058781093732E-6 1.647585676595E-5 -4.86361181659E-4 -3.96660587623E-5          .0000000 9.802141558214E-7 1.340783827049E-4          .2267647          .2492980
  QC1LE685            MULT                          .6800002          .0100000         4.7233525       154.1183487        -6.7982352      -226.6300924          .2267647          .2492980 -3.73746985939E-6 4.863895427059E-4 -1.20560270521E-5 -3.62910899411E-8 6.058781093732E-6 1.657064354760E-5 -4.86361181659E-4 -3.96677722925E-5 -1.70783263150E-6 1.16297266487E-10 5.18262230575E-11          .2267647          .2492980
  QC1LPE689           MULT                          .6900002          .0000000         4.8603166       158.6842606        -6.8981443      -229.9615998          .2270969          .2493081 -3.91277936685E-6 4.857846915946E-4 -1.20746880794E-5 -3.82482163851E-8 6.103398895729E-6 1.829739805374E-5 -4.85755877724E-4 1.610528516340E-4          .0000000 9.802141558214E-7 1.340783827049E-4          .2270969          .2493081
  QC1LPE691           MULT                          .6900002          .0000000         4.8603165       158.6842601        -6.8981225      -229.9623059          .2270969          .2493081 -3.91277948136E-6 4.857846908059E-4 -1.20746705008E-5 -3.60867098419E-8 6.103398955990E-6 1.839206676681E-5 -4.85755877716E-4 1.610511301433E-4          .0000000 -2.52948931249E-6 1.178286082568E-4          .2270969          .2493081
  QC1LE695            MULT                          .6900002          .0100000         4.8603165       158.6842596        -6.8981164      -229.9624999          .2270969          .2493081 -3.91277947506E-6 4.857846900238E-4 -1.20746655817E-5 -3.54925697228E-8 6.103398955990E-6 1.848968102753E-5 -4.85755877716E-4 1.610510322293E-4 -2.41969272221E-6 1.21065371875E-10 6.55768749750E-11          .2270969          .2493081
  QC1LPE699           MULT                          .7000002          .0000000         4.9992784       163.3168124        -6.9980036      -233.2933662          .2274198          .2493180 -4.11343566622E-6 4.832115920076E-4 -1.21623372250E-5 -3.80708728230E-8 6.140667999491E-6 2.099694817966E-5 -4.83182197990E-4 3.540889727749E-4          .0000000 -2.52948931249E-6 1.178286082568E-4          .2274198          .2493180
  QC1LPE701           MULT                          .7000002          .0000000         4.9992784       163.3168118        -6.9979976      -233.2935548          .2274198          .2493180 -4.11343588939E-6 4.832115910967E-4 -1.21623321705E-5 -3.75129792471E-8 6.140668114756E-6 2.109404525489E-5 -4.83182197981E-4 3.540888619320E-4          .0000000 -1.00484961059E-5 3.126337995047E-5          .2274198          .2493180
  QC1LE705            MULT                          .7000002          .0100000         4.9992784       163.3168113        -6.9980336      -233.2923750          .2274198          .2493180 -4.11343588381E-6 4.832115904415E-4 -1.21623617816E-5 -4.10034960457E-8 6.140668114756E-6 2.116651666193E-5 -4.83182197981E-4 3.540927041641E-4 -3.46931935443E-6 1.26446185637E-10 6.81319736670E-11          .2274198          .2493180
  QC1LPE709           MULT                          .7100002          .0000000         5.1402387       168.0159544        -7.0978999      -236.6224641          .2277337          .2493276 -4.35063136024E-6 4.788079209492E-4 -1.23362491937E-5 -4.36138163728E-8 6.184635233780E-6 2.480798068401E-5 -4.78777688585E-4 5.272842611638E-4          .0000000 -1.00484961059E-5 3.126337995047E-5          .2277337          .2493276
  QC1LPE711           MULT                          .7100002          .0000000         5.1402386       168.0159539        -7.0979372      -236.6212402          .2277337          .2493276 -4.35063161948E-6 4.788079201968E-4 -1.23362804924E-5 -4.71016553461E-8 6.184635366626E-6 2.487979228232E-5 -4.78777688575E-4 5.272880542450E-4          .0000000 -2.55074645588E-5 -1.49753384961E-4          .2277337          .2493276
  QC1LE715            MULT                          .7100002          .0100000         5.1402386       168.0159537        -7.0980630      -236.6171265          .2277337          .2493276 -4.35063161699E-6 4.788079199226E-4 -1.23363869759E-5 -5.88249389207E-8 6.184635366626E-6 2.490725025712E-5 -4.78777688575E-4 5.272998859096E-4 -5.02914693674E-6 1.32469508236E-10 6.07684693808E-11          .2277337          .2493276
  QC1LPE719           MULT                          .7200002          .0000000         5.2831995       172.7815849        -7.1979138      -239.9463253          .2280391          .2493370 -4.63991055212E-6 4.728137487713E-4 -1.25993530634E-5 -6.03945946897E-8 6.255307830982E-6 3.019574593385E-5 -4.72782282520E-4 6.723148102786E-4          .0000000 -2.55074645588E-5 -1.49753384961E-4          .2280391          .2493370
  QC1LPE721           MULT                          .7200002          .0000000         5.2831995       172.7815847        -7.1980432      -239.9420905          .2280391          .2493370 -4.63991077874E-6 4.728137484490E-4 -1.25994664250E-5 -7.19832765556E-8 6.255307945708E-6 3.022286389805E-5 -4.72782282512E-4 6.723264857000E-4          .0000000 -5.67146847137E-5 -1.90896325452E-4          .2280391          .2493370
  QC1LE725            MULT                          .7200002          .0100000         5.2831995       172.7815849        -7.1983475      -239.9321412          .2280391          .2493370 -4.63991078080E-6 4.728137486593E-4 -1.25997336319E-5 -9.92093366549E-8 6.255307945708E-6 3.020410626932E-5 -4.72782282512E-4 6.723536092264E-4 -7.35498665758E-6 1.39052022737E-10 5.42746774449E-11          .2280391          .2493370
  QC1LPE729           MULT                          .7300002          .0000000         5.4281659       177.6135095        -7.2981934      -243.2602941          .2283363          .2493460 -5.00292127852E-6 4.655218521217E-4 -1.29411991152E-5 -9.82013215580E-8 6.379498735027E-6 3.789604320908E-5 -4.65488645026E-4 7.869532334320E-4          .0000000 -5.67146847137E-5 -1.90896325452E-4          .2283363          .2493460
  QC1LPE731           MULT                          .7300002          .0000000         5.4281659       177.6135096        -7.2985059      -243.2500705          .2283363          .2493460 -5.00292143759E-6 4.655218523259E-4 -1.29414868506E-5 -1.24997237318E-7 6.379498813343E-6 3.787758770106E-5 -4.65488645020E-4 7.869799465937E-4          .0000000 -1.19349231727E-4 2.282302849048E-4          .2283363          .2493460
  QC1LE735            MULT                          .7300002          .0100000         5.4281660       177.6135101        -7.2991648      -243.2285129          .2283363          .2493460 -5.00292144382E-6 4.655218529057E-4 -1.29420941419E-5 -1.81499417857E-7 6.379498813343E-6 3.782942536990E-5 -4.65488645020E-4 7.870362765190E-4 -1.08124815507E-5 1.46265870323E-10 6.31612818952E-11          .2283363          .2493460
