@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5415814
@ Q2         %le              43.6091163
@ DATETIME   %08s     "11/11/2019 14:52:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQD3E3              MONI                       240.2343642          .0000000         7.5450463        20.8393844          .1826535         1.7468282         4.1612132         4.5264270          .0565075          .0496652          .3120213 -2.44413772317E-5         -.0169613 -1.84077220473E-6 -6.24116869813E-5 3.402769672789E-6 4.73602238031E-11 -2.2543477690E-12 -1.18843724541E-5          .0011893 -1.61450830793E-5 -1.86762109288E-4
  MQF2E3              MONI                       250.6842686          .0000000        15.6716303         6.5664741         1.9742226        -1.4498099         4.3333408         4.7355975          .1721276          .2091706          .3457740 -2.64253238118E-5         -.0289501 -1.09293956667E-5 -6.92101729408E-5 5.794460297228E-6 2.61571141005E-11 2.63457131670E-12 1.947994834945E-5          .0011356 -1.55959075818E-5 1.904068217251E-4
  MQD1E2              MONI                       255.8240225          .0000000         5.2268860        24.1162278         -.7675062         3.1568217         4.4470822         4.7923268          .1137415          .0567293          .2374530 -6.98310630541E-5          .0289332 7.382396274493E-6 -4.75349296743E-5 -5.79293260881E-6 3.31860945414E-11 -6.6051859330E-12 -5.86400997711E-4          .0024109 7.061512202811E-5 -3.26846751428E-4
  MQF2E4              MONI                       259.5637764          .0000000        15.2222223         6.8618286        -1.9046849         1.4560349         4.5159520         4.8392832          .0688698          .0469564          .3456992 -4.22241546734E-5          .0289332 7.383926702658E-6 -6.92034057051E-5 -5.79293260881E-6 8.47938332402E-12 -6.6051859330E-12 -3.22264992270E-4          .0023937 7.061512202811E-5 -5.90982756877E-4
  MQD3E4              MONI                       270.0136808          .0000000         7.5909065        20.7287910         -.2151940        -1.6653792         4.6916163         5.0381078          .1756643          .1988247          .3119252 -1.40901557708E-6          .0169600 -5.91321106805E-6 -6.24029995440E-5 -3.40265132914E-6 -4.9721780095E-11 -5.5431131091E-12 -6.75815845124E-5          .0011253 -2.03522559713E-5 2.193137320043E-5
  MQF4E4              MONI                       274.8254620          .0000000        29.7688573         9.7351913        -2.7572696          .7740554         4.7472181         5.0891379          .0556018          .0510301          .6222268 -2.68954129596E-5          .0543738 -5.86239236708E-6 -1.24518291911E-4 -1.08873558129E-5 -3.9270487555E-11 2.08129453612E-12 -1.57490001759E-4          .0012993 8.982989958162E-6 -2.10123292239E-4
  MQEAE5              MONI                       279.4460260          .0000000        49.4979387         7.5129980         5.7662589        -1.2415750         4.7646578         5.1898770          .0174397          .1007391          .7838825 -5.95314756327E-5         -.0956066 -1.53204163007E-5 -1.56828884608E-4 1.913469386822E-5 -3.3082525468E-11 -3.7064425819E-12 3.123770420777E-5 8.826427389901E-4 -2.61807428622E-5 -5.40142022025E-5
  MQD5E5              MONI                       285.1974250          .0000000         7.7590076        26.7971018          .5475251         2.0255705         4.8167916         5.2498028          .0521338          .0599258          .2667014 -1.33144627658E-4         -.0419707 8.909047448455E-6 -5.33368983089E-5 8.406959783308E-6 -4.8916760942E-11 5.42183642003E-12 -3.04808250797E-4          .0012480 1.372751484978E-5 -1.26483027970E-4
  MQF6E3              MONI                       292.5092254          .0000000         8.7060463         7.3121726         -.6770750          .6345217         4.9912437         5.3372612          .1744521          .0874584          .1646688 -8.51637618024E-6          .0137865 -9.24769400604E-7 -3.28407041250E-5 -2.74447417357E-6 -9.1849806239E-12 5.43702420873E-12 -2.03865202753E-4          .0018112 1.386015802405E-5 -2.28213565969E-4
  MQD5E6              MONI                       300.7210258          .0000000         7.7707687        27.5129912         -.5470254        -2.0895472         5.1813944         5.4435134          .1901507          .1062522          .2674452 9.460033468122E-5          .0420665 3.105725955347E-6 -5.34100551544E-5 -8.41638406491E-6 2.67533936377E-11 4.31127132620E-12 2.413155934569E-5          .0021036 -8.68846468009E-6 1.302901950193E-4
