@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5435915
@ Q2         %le              43.6086671
@ DATETIME   %08s     "10/09/2019 18:50:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQT5TNE             MONI                       375.4784486          .0000000        10.1654055        15.4319685         1.0201732        -1.4605096         6.1385438         6.4448505          .0441770          .0619156          .3809301 -9.93624320639E-5         -.0341271 1.075505673096E-5 2.686355719452E-4 -4.3605648048E-10 -8.92867859360E-4         -.0071138 -3.32193747986E-6 -3.58813154631E-4
  MQTBTNE2            MONI                       380.6966849          .0000000        16.9323609         8.9449309         1.1046975         -.6197170         6.2044309         6.5163546          .0658871          .0715041          .4717006 3.468666586767E-5         -.0395362 2.992665958177E-5 3.331139988038E-4 -2.9270713878E-10 -3.05133761053E-4         -.0045572 7.112914812524E-5 8.982432438191E-5
  MQT4TNE2            MONI                       384.7149213          .0000000        10.7722839        15.5696136          .0931330         -.5089061         6.2536173         6.5703000          .0491864          .0539454          .3225298 1.511579713404E-4         -.0238703 2.364612623515E-5 2.279431908890E-4 -2.9519065233E-10 1.693196004420E-4         -.0041201 7.247319014427E-5 -1.09783841147E-5
  MQT3TNE2            MONI                       392.8747916          .0000000        15.4752633        29.1435337         -.6701057        -1.1543026         6.3623590         6.6327872          .1087418          .0624872          .3797913 -4.45862926223E-5          .0318868 8.390101964616E-6 2.673961159791E-4 -2.0345192681E-10 7.595887904522E-4         -.0103914 7.224803318952E-5 -5.97717687770E-4
  MQTATNE2            MONI                       397.7476034          .0000000        46.3991671        15.8076519        -4.5057774         1.3464944         6.3931213         6.6671405          .0307623          .0343532          .7246110 1.421405073545E-5          .0764176 1.268811505034E-5 5.092642570678E-4 -5.7356893574E-11          .0017199         -.0161107 -7.89492890200E-5 9.120890928207E-4
  MQT2TNE2            MONI                       401.2650634          .0000000        20.4373429        29.8252358         4.1395305        -3.2558297         6.4093625         6.6959456          .0162412          .0288051          .4975589 7.296974332311E-5         -.0940683 1.779823091672E-5 3.492372399442E-4 3.08012523956E-11         -.0029710         -.0164982 -3.38169054882E-4         -.0019777
  MQT1TNE2            MONI                       406.4728105          .0000000         7.7360561        22.3646793          .2103942         1.8671630         6.4851900         6.7248983          .0758275          .0289527          .3108878 1.079358067994E-4         -.0168945 1.646979240281E-6 2.180181887445E-4 1.21170651021E-10 -2.25323667449E-4         -.0105451 4.320420100409E-5 7.049979119230E-4
  MQF2E7              MONI                       416.9227149          .0000000        15.2784239         6.1093439         1.9359511        -1.3270207         6.6573782         6.9334524          .1721881          .2085541          .3486979 -1.38618628655E-4         -.0290644 -2.31694374230E-7 2.432551396810E-4 2.74524566733E-10 -8.58270858441E-4         -.0054850 -6.51645710204E-5 -7.62200488029E-4
  MQD1E4              MONI                       422.0624688          .0000000         5.1550587        22.5012285         -.7795966         2.9130507         6.7737310         6.9945000          .1163529          .0610476          .2404691 -1.15680860170E-4          .0295190 3.384444448828E-5 1.674413438461E-4 4.94031367157E-10 -7.11750773880E-5         -.0034240 9.469617230677E-5 3.863222634074E-4
  MQF2E8              MONI                       425.8022227          .0000000        15.3377868         6.6160284        -1.9451432         1.3375819         6.8427655         7.0440444          .0690345          .0495444          .3507093 1.077913628891E-5          .0295190 3.383719975144E-5 2.439999626319E-4 2.24513537612E-10 2.827175778374E-4         -.0030368 9.469617230677E-5 3.242960803366E-5
  MQD3E6              MONI                       436.2521271          .0000000         7.7301145        22.1864617         -.2061078        -1.7285040         7.0144907         7.2351300          .1717252          .1910856          .3134781 -1.39632150562E-4          .0169344 -4.69291684850E-6 2.189765561007E-4 -1.5315358652E-10 1.321582702669E-4         -.0106924 4.032166239760E-5         -.0010169
  MQF4E6              MONI                       441.0639082          .0000000        29.9102574         9.9847738        -2.7502062          .8769446         7.0693779         7.2837160          .0548871          .0485860          .6241871 -6.19905378612E-5          .0545516 1.704735773252E-5 4.365307278186E-4 -1.9889538415E-10          .0011480         -.0142627 -5.71771319498E-5 9.688600687573E-4
  MQEAE7              MONI                       445.6844722          .0000000        49.4090772         7.0114147         5.7840476        -1.1129380         7.0867761         7.3869476          .0173983          .1032316          .7854430 1.706914390464E-5         -.0959033 1.822822238127E-5 5.494798599723E-4 -2.7928012989E-10         -.0016759         -.0139157 -1.42177013266E-4         -.0013576
  MQD5E7              MONI                       451.4358713          .0000000         7.6368705        24.6587145          .5582904         1.8481371         7.1393364         7.4518275          .0525603          .0648799          .2675885 1.095090076361E-4         -.0421006 -1.08608944778E-6 1.869936027510E-4 -5.4961952595E-10 -7.68320944840E-4         -.0075455 1.200778042718E-4 7.930391340841E-4
  MQF6E4              MONI                       458.7476717          .0000000         8.6438421         7.1713426         -.6961641          .5414022         7.3171655         7.5443759          .1778290          .0925484          .1647904 -1.78945598423E-5          .0136565 1.885622284650E-5 1.149602358038E-4 -2.3336192717E-10 1.102275370878E-4         -.0025436 1.202502139579E-4 -8.28020140012E-5
  MQD5E8              MONI                       466.9594721          .0000000         7.9350481        29.5949095         -.5456848        -2.2895991         7.5042937         7.6472280          .1871282          .1028521          .2662450 -3.09814290687E-4          .0419273 -2.73624360494E-5 1.864909507871E-4 -1.5265597611E-10 1.608751433753E-4         -.0083746 5.461631242831E-5 -9.98600915164E-4
