@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5422163
@ Q2         %le              43.6089455
@ DATETIME   %08s     "11/11/2019 14:52:52"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQEAE3              MONI                       203.7756202          .0000000        48.5486236         7.7810132         5.6613956        -1.2874446         3.6095536         4.0675387          .0177604          .0981481          .7836570 1.515331390786E-5         -.0957002 3.675794948571E-6 7.840232366442E-5 -9.57193159180E-6 -4.1019048337E-12 -1.1460793954E-12 -1.15084267867E-5 -2.53295189051E-4 3.216233136646E-5 2.247396134555E-4
  MQD5E3              MONI                       209.5270192          .0000000         7.6212422        27.5205512          .5300049         2.1026511         3.6626880         4.1255412          .0531344          .0580025          .2662033 3.272940277832E-5         -.0421408 -2.28831930934E-6 2.664319845351E-5 -4.21195747927E-6 -9.6453750228E-12 6.04648279096E-13 1.325509207180E-4 5.662745786667E-5 -2.13755649060E-6 4.103419272151E-5
  MQF6E2              MONI                       216.8388196          .0000000         8.8508238         7.2613194         -.6982562          .6639827         3.8372678         4.2120191          .1745798          .0864779          .1629888 1.216276051201E-5          .0136164 4.274515475158E-7 1.633621155605E-5 1.363758680799E-6 -5.2077662604E-12 6.08522125520E-13 1.166747587783E-4 -4.96237309211E-4 -2.20248275490E-6 5.702277506316E-5
  MQD5E4              MONI                       225.0506200          .0000000         7.7291423        26.5651362         -.5254281        -2.0172475         4.0251141         4.3209129          .1878463          .1088939          .2665012 -3.93143550957E-5          .0421792 -1.95406218874E-6 2.665807086166E-5 4.213873960372E-6 -6.5574166702E-12 -2.0733872911E-13 1.274627705101E-4         -.0017343 1.232546752145E-5 -1.24078225726E-4
  MQEAE4              MONI                       230.8020191          .0000000        48.7269860         7.5166112        -5.6640482         1.2293602         4.0777617         4.3810807          .0526476          .0601678          .7844787 -1.40684651781E-5          .0957975 5.130192588997E-6 7.844334861039E-5 9.576792509109E-6 -1.7260693635E-12 9.61329820747E-13 2.355734340400E-4         -.0020755 -4.78688674209E-5 4.453519846795E-4
  MQF4E3              MONI                       235.4225831          .0000000        29.2336123         9.8570531         2.7280847         -.7906948         4.0954932         4.4810459          .0177315          .0999652          .6232211 1.271940237446E-6         -.0545535 3.061984369940E-6 6.230817757249E-5 -5.45259701573E-6 1.83510457958E-12 7.44826481444E-13 -9.50711132185E-5         -.0011090 1.078067481729E-5 6.727080062384E-5
  MQD3E3              MONI                       240.2343642          .0000000         7.3916430        21.0193071          .2132051         1.6904029         4.1523898         4.5313701          .0568966          .0503242          .3121472 1.501157106252E-5         -.0171162 6.922901444302E-7 3.121230271426E-5 -1.70910525951E-6 5.22179417659E-12 -7.0624658908E-14 1.800606070128E-5 -5.43860937223E-4 7.209288106090E-6 9.104212812929E-5
  MQF2E3              MONI                       250.6842686          .0000000        15.5009516         6.7083282         1.9184719        -1.4279912         4.3294905         4.7318901          .1771007          .2005200          .3466446 1.439294395575E-5         -.0290220 5.652527419910E-6 3.464903436979E-5 -2.90088185783E-6 4.85157325092E-12 8.03234286869E-13 -6.06346782321E-6 -5.65207991193E-4 8.893699150565E-6 -8.79685430258E-5
  MQD1E2              MONI                       255.8240225          .0000000         5.4001732        23.6759041         -.8088979         3.1519247         4.4417040         4.7885174          .1122134          .0566273          .2381348 3.671037333112E-5          .0290271 -3.99327773068E-6 2.380172226948E-5 2.901153840344E-6 7.53600355912E-12 -1.2518688554E-12 3.012189321542E-4         -.0012116 -3.71178298237E-5 1.677558414000E-4
  MQF2E4              MONI                       259.5637764          .0000000        15.7333359         6.5613958        -1.9544380         1.4249058         4.5081869         4.8370138          .0664829          .0484964          .3466672 2.177623341630E-5          .0290271 -3.99287509756E-6 3.465023881631E-5 2.901153840344E-6 2.85479024208E-12 -1.2518688554E-12 1.624212629561E-4         -.0011916 -3.71178298237E-5 3.065535105993E-4
